feature,1,2,3,4,5,6,7,8,9
39,3258.0,2715.0,3258.0,3258.0,4344.0,2715.0,2715.0,2482.28571429,3258.0
40,3379.89795918,2726.08163265,3258.0,3379.89795918,4344.0,2726.08163265,2726.08163265,2615.26530612,3258.0
41,3579.36734694,2892.30612245,3258.0,3579.36734694,4568.75510204,2892.30612245,2892.30612245,2715.0,3258.0
42,3778.83673469,3058.53061224,3357.73469388,3778.83673469,4866.7755102,3058.53061224,3058.53061224,2715.0,3357.73469388
43,3801.0,3224.75510204,3546.12244898,3801.0,4887.0,3224.75510204,3224.75510204,2715.0,3546.12244898
44,3801.0,3258.0,3734.51020408,3801.0,4919.81632653,3258.0,3258.0,2715.0,3734.51020408
45,3801.0,3258.0,3801.0,3801.0,5217.83673469,3258.0,3258.0,2715.0,3801.0
46,3801.0,3258.0,3801.0,3801.0,5430.0,3258.0,3258.0,2715.0,3801.0
47,3801.0,3258.0,3801.0,3801.0,5430.0,3258.0,3258.0,2715.0,3801.0
48,3889.65306122,3258.0,3945.06122449,3889.65306122,5430.0,3258.0,3258.0,2715.0,3801.0
49,4089.12244898,3258.0,4133.44897959,4089.12244898,5430.0,3258.0,3258.0,2726.08163265,3801.0
50,4288.59183673,3302.32653061,4321.83673469,4288.59183673,5621.93877551,3302.32653061,3302.32653061,2859.06122449,3801.0
51,4488.06122449,3468.55102041,4344.0,4488.06122449,5919.95918367,3468.55102041,3468.55102041,2992.04081633,3967.2244898
52,4687.53061224,3634.7755102,4344.0,4687.53061224,6217.97959184,3634.7755102,3634.7755102,3125.02040816,4155.6122449
53,4887.0,3801.0,4344.0,4887.0,6516.0,3801.0,3801.0,3258.0,4344.0
54,199.469387755,166.224489796,188.387755102,199.469387755,298.020408163,166.224489796,166.224489796,132.979591837,188.387755102
55,398.93877551,332.448979592,376.775510204,398.93877551,596.040816327,332.448979592,332.448979592,265.959183673,376.775510204
56,598.408163265,498.673469388,565.163265306,598.408163265,894.06122449,498.673469388,498.673469388,398.93877551,565.163265306
57,797.87755102,664.897959184,753.551020408,797.87755102,1192.08163265,664.897959184,664.897959184,531.918367347,753.551020408
58,997.346938776,831.12244898,941.93877551,997.346938776,1490.10204082,831.12244898,831.12244898,664.897959184,941.93877551
59,1086.0,997.346938776,1130.32653061,1086.0,1629.0,997.346938776,997.346938776,797.87755102,1086.0
60,1086.0,1086.0,1318.71428571,1086.0,1629.0,1086.0,1086.0,930.857142857,1086.0
61,1086.0,1086.0,1507.10204082,1086.0,1841.16326531,1086.0,1086.0,1063.83673469,1086.0
62,1252.2244898,1086.0,1629.0,1252.2244898,2139.18367347,1086.0,1086.0,1196.81632653,1152.48979592
63,1451.69387755,1119.24489796,1629.0,1451.69387755,2172.0,1119.24489796,1119.24489796,1329.79591837,1340.87755102
64,1629.0,1285.46938776,1629.0,1629.0,2192.2244898,1285.46938776,1285.46938776,1462.7755102,1529.26530612
65,1629.0,1451.69387755,1717.65306122,1629.0,2490.24489796,1451.69387755,1451.69387755,1595.75510204,1629.0
66,1629.0,1617.91836735,1906.04081633,1629.0,2715.0,1617.91836735,1617.91836735,1629.0,1629.0
67,1706.57142857,1629.0,2094.42857143,1706.57142857,2715.0,1629.0,1629.0,1629.0,1629.0
68,1906.04081633,1629.0,2172.0,1906.04081633,2841.30612245,1629.0,1629.0,1629.0,1739.81632653
69,2105.51020408,1629.0,2172.0,2105.51020408,3139.32653061,1629.0,1629.0,1629.0,1928.20408163
70,2304.97959184,1739.81632653,2172.0,2172.0,3258.0,1739.81632653,1739.81632653,1717.65306122,2116.59183673
71,2504.44897959,1906.04081633,2172.0,2172.0,3258.0,1906.04081633,1906.04081633,1850.63265306,2304.97959184
72,2703.91836735,2072.26530612,2172.0,2172.0,3490.3877551,2072.26530612,2072.26530612,1983.6122449,2493.36734694
73,2715.0,2238.48979592,2172.0,2360.3877551,3788.40816327,2238.48979592,2238.48979592,2116.59183673,2681.75510204
74,2715.0,2404.71428571,2327.14285714,2559.85714286,3801.0,2404.71428571,2404.71428571,2172.0,2715.0
75,2759.32653061,2570.93877551,2515.53061224,2759.32653061,3841.44897959,2570.93877551,2570.93877551,2172.0,2715.0
76,2958.79591837,2715.0,2703.91836735,2958.79591837,4139.46938776,2715.0,2715.0,2172.0,2715.0
77,3158.26530612,2715.0,2715.0,3158.26530612,4344.0,2715.0,2715.0,2172.0,2892.30612245
78,3258.0,2715.0,2715.0,3258.0,4344.0,2715.0,2715.0,2238.48979592,3080.69387755
